C,Si,Mn,S,P,Ni,Cr,Mo,V,Cu,Co,W,O,Ti,N,Al,B,Nb,Sn,As,Sb,Current,Voltage,AC_DC,ElectrodePolarity,HeatInput,InterpassTemp,WeldType,YieldStrength,UTS,Elongation,ReductionArea,CharpyTemp,CharpyImpact,Hardness,FATT50,PrimaryFerrite,Ferrite2ndPhase,AcicularFerrite,Martensite,FerriteCarbide,WeldID,MechanicalTestDone,PrimaryFerrite_missing,Ferrite2ndPhase_missing,AcicularFerrite_missing,Martensite_missing,FerriteCarbide_missing
0.045,0.33,1.85,0.007,0.016,0.0,0.5852830500448931,0.19961034494974683,0.1822427031911218,0.1476364222233144,0.06945638015190142,0.13615411311916814,430.0999521493593,90.58753822698505,109.21260739623,124.10119721180405,8.81705681363205,137.4814806081068,47.038195527412654,32.170747099957694,15.798203038513691,170.0,21.0,DC,+,1.0,200.0,MMA,479.0,576.0,27.399999618530273,76.9000015258789,-40.0,100.0,-45.189140362447915,-31.16062373196307,,,,,,Evans-Ni/CMn-1990/1991-0Dht,1,1,1,1,1,1
0.039,0.32,0.66,0.006,0.011,0.53,1.3435602215799207,0.5150350165606596,0.005297727755273485,0.19492616524988193,0.07154799898551362,0.13404995928921437,433.6827612153734,80.77062364108839,110.22552418364079,58.6857741139562,9.278636963377025,126.83425009119915,51.09197290395605,41.48860323999259,18.27056476261106,170.0,21.0,DC,+,1.0,200.0,MMA,411.0,484.0,32.599998474121094,79.30000305175781,-62.95314319325726,96.20976737305632,175.0924689078813,-31.075630742389635,,,,,,Evans-Ni/CMn-1990/1991-0.5Aaw,1,1,1,1,1,1
0.039,0.32,0.66,0.006,0.011,0.53,1.3435602215799207,0.5150350165606596,0.005297727755273485,0.19492616524988193,0.07154799898551362,0.13404995928921437,433.6827612153734,80.77062364108839,110.22552418364079,58.6857741139562,9.278636963377025,126.83425009119915,51.09197290395605,41.48860323999259,18.27056476261106,170.0,21.0,DC,+,1.0,200.0,MMA,401.0,475.0,34.20000076293945,80.5999984741211,-65.55056377649069,97.9007734241451,173.4020608752901,-31.075207785075705,,,,,,Evans-Ni/CMn-1990/1991-0.5Aht,1,1,1,1,1,1
0.041,0.33,1.01,0.006,0.011,0.49,1.0957946655150579,0.4248190244780403,0.04480299077930994,0.1783898113754958,0.0713288676915051,0.1346100039778877,431.6921079750964,83.8448488153519,109.64933729746632,78.20097703816873,8.808126838471637,129.7953196419696,50.39172829909285,38.6374320067699,18.425928813984058,170.0,21.0,DC,+,1.0,200.0,MMA,464.0,522.0,29.600000381469727,77.80000305175781,-53.62868009132121,92.46176834243214,186.67306729564575,-31.095859337910092,,,,,,Evans-Ni/CMn-1990/1991-0.5Baw,1,1,1,1,1,1
0.041,0.33,1.01,0.006,0.011,0.49,1.0957946655150579,0.4248190244780403,0.04480299077930994,0.1783898113754958,0.0713288676915051,0.1346100039778877,431.6921079750964,83.8448488153519,109.64933729746632,78.20097703816873,8.808126838471637,129.7953196419696,50.39172829909285,38.6374320067699,18.425928813984058,170.0,21.0,DC,+,1.0,200.0,MMA,,592.2012285308369,26.31366579147675,72.02360339158338,-34.83873944824215,83.26729596260917,222.5804932412973,-31.154634108678735,19.0,43.0,38.0,0.0,0.0,Evans-Ni/CMn-1990/1991-0.5Bawmic,0,0,0,0,0,0
0.041,0.33,1.01,0.006,0.011,0.49,1.0957946655150579,0.4248190244780403,0.04480299077930994,0.1783898113754958,0.0713288676915051,0.1346100039778877,431.6921079750964,83.8448488153519,109.64933729746632,78.20097703816873,8.808126838471637,129.7953196419696,50.39172829909285,38.6374320067699,18.425928813984058,170.0,21.0,DC,+,1.0,200.0,MMA,426.0,506.0,31.600000381469727,79.69999694824219,-58.20955864411604,95.16391495740349,183.50258902335713,-31.08964073151388,,,,,,Evans-Ni/CMn-1990/1991-0.5Bht,1,1,1,1,1,1
0.051,0.32,1.4,0.007,0.014,0.47,0.8643977875659772,0.33689736973059325,0.08792687978105107,0.16809332999426374,0.07112791592974149,0.13538693085163223,429.9686078120835,86.28880728822098,109.16550573945449,94.19486482880598,8.78806126593669,132.12505800867652,49.382459700143045,36.914865792155084,19.682707828410514,170.0,21.0,DC,+,1.0,200.0,MMA,509.0,568.0,28.600000381469727,76.9000015258789,-42.205619764815594,88.5274656577936,200.57976492895045,-31.13837513475439,,,,,,Evans-Ni/CMn-1990/1991-0.5Caw,1,1,1,1,1,1
0.051,0.32,1.4,0.007,0.014,0.47,0.8643977875659772,0.33689736973059325,0.08792687978105107,0.16809332999426374,0.07112791592974149,0.13538693085163223,429.9686078120835,86.28880728822098,109.16550573945449,94.19486482880598,8.78806126593669,132.12505800867652,49.382459700143045,36.914865792155084,19.682707828410514,170.0,21.0,DC,+,1.0,200.0,MMA,450.0,536.0,28.200000762939453,78.80000305175781,-51.341573165341494,92.57584500441386,193.79298513904018,-31.096796056900082,,,,,,Evans-Ni/CMn-1990/1991-0.5Cht,1,1,1,1,1,1
0.049,0.33,1.85,0.006,0.014,0.51,0.528027870852938,0.2125199160055331,0.12949138966131102,0.15041777222970154,0.07095516348635988,0.13581680548230635,427.0591538440269,89.56313370704557,108.31429583302403,114.28842762125589,8.09768000649892,135.02220616767713,49.43683758525833,34.265671290108216,21.26620696945497,170.0,21.0,DC,+,1.0,200.0,MMA,547.0,618.0,26.0,74.9000015258789,-29.528206653095346,83.43705212472194,214.91017332523302,-31.17556763098637,,,,,,Evans-Ni/CMn-1990/1991-0.5Daw,1,1,1,1,1,1
0.049,0.33,1.85,0.006,0.014,0.51,0.528027870852938,0.2125199160055331,0.12949138966131102,0.15041777222970154,0.07095516348635988,0.13581680548230635,427.0591538440269,89.56313370704557,108.31429583302403,114.28842762125589,8.09768000649892,135.02220616767713,49.43683758525833,34.265671290108216,21.26620696945497,170.0,21.0,DC,+,1.0,200.0,MMA,,592.2012285308369,26.31366579147675,72.02360339158338,-34.83873944824215,83.26729596260917,222.5804932412973,-31.154634108678735,8.0,24.0,68.0,0.0,0.0,Evans-Ni/CMn-1990/1991-0.5Dawmic,0,0,0,0,0,0
