C,Si,Mn,S,P,Ni,Cr,Mo,V,Cu,Co,W,O,Ti,N,Al,B,Nb,Sn,As,Sb,Current,Voltage,AC_DC,ElectrodePolarity,HeatInput,InterpassTemp,WeldType,YieldStrength,UTS,Elongation,ReductionArea,CharpyTemp,CharpyImpact,Hardness,FATT50,PrimaryFerrite,Ferrite2ndPhase,AcicularFerrite,Martensite,FerriteCarbide,WeldID
0.045,0.33,1.85,0.007,0.016,0.0,0.8087415542250227,0.2514688777226084,0.08548894410787256,0.155199506325161,0.2483160024307196,0.7004200329725876,442.44379412441435,85.55950205732995,109.0828836650553,111.49067499535158,8.999983033336399,96.77382213329633,48.088284972904376,39.47778144264964,27.746759401401505,170.0,21.0,DC,+,1.0,200.0,MMA,,,,,-38.0,100.0,,,13.0,17.0,60.0,0.0,0.0,Evans-Ni/CMn-1990/1991-0Dawch
0.045,0.33,1.85,0.007,0.016,0.0,0.8087415542250227,0.2514688777226084,0.08548894410787256,0.155199506325161,0.2483160024307196,0.7004200329725876,442.44379412441435,85.55950205732995,109.0828836650553,111.49067499535158,8.999983033336399,96.77382213329633,48.088284972904376,39.47778144264964,27.746759401401505,170.0,21.0,DC,+,1.0,200.0,MMA,479.0,576.0,27.4,76.9,-40.0,100.0,,,,,,,,Evans-Ni/CMn-1990/1991-0Dht
0.039,0.32,0.66,0.006,0.011,0.53,2.1342840765201245,0.5810056960157368,0.08483745795474817,0.18909444960819677,0.2737137093405977,0.8479349116118371,443.0932378271914,77.85673670010777,107.37244784797213,67.8686345355818,9.517565254375768,139.39893070623503,51.9002016761678,27.475365893350755,29.63081847479407,170.0,21.0,DC,+,1.0,200.0,MMA,411.0,484.0,32.6,79.3,,,,,,,,,,Evans-Ni/CMn-1990/1991-0.5Aaw
0.039,0.32,0.66,0.006,0.011,0.53,2.1342840765201245,0.5810056960157368,0.08483745795474817,0.18909444960819677,0.2737137093405977,0.8479349116118371,443.0932378271914,77.85673670010777,107.37244784797213,67.8686345355818,9.517565254375768,139.39893070623503,51.9002016761678,27.475365893350755,29.63081847479407,170.0,21.0,DC,+,1.0,200.0,MMA,401.0,475.0,34.2,80.6,,,,,,,,,,Evans-Ni/CMn-1990/1991-0.5Aht
0.041,0.33,1.01,0.006,0.011,0.49,1.7337834835000603,0.47724854031602604,0.08426126541172607,0.17798446196836437,0.2628118098637664,0.7902114691298507,442.81676370567766,80.6224425299066,105.63157503897764,83.2984190529678,9.162532988389515,125.17275464462006,50.25691560525297,29.39673476072869,29.31246300177372,170.0,21.0,DC,+,1.0,200.0,MMA,464.0,522.0,29.6,77.8,,,,,,,,,,Evans-Ni/CMn-1990/1991-0.5Baw
0.041,0.33,1.01,0.006,0.011,0.49,1.7337834835000603,0.47724854031602604,0.08426126541172607,0.17798446196836437,0.2628118098637664,0.7902114691298507,442.81676370567766,80.6224425299066,105.63157503897764,83.2984190529678,9.162532988389515,125.17275464462006,50.25691560525297,29.39673476072869,29.31246300177372,170.0,21.0,DC,+,1.0,200.0,MMA,,,,,,,,,19.0,43.0,38.0,0.0,0.0,Evans-Ni/CMn-1990/1991-0.5Bawmic
0.041,0.33,1.01,0.006,0.011,0.49,1.7337834835000603,0.47724854031602604,0.08426126541172607,0.17798446196836437,0.2628118098637664,0.7902114691298507,442.81676370567766,80.6224425299066,105.63157503897764,83.2984190529678,9.162532988389515,125.17275464462006,50.25691560525297,29.39673476072869,29.31246300177372,170.0,21.0,DC,+,1.0,200.0,MMA,426.0,506.0,31.6,79.7,,,,,,,,,,Evans-Ni/CMn-1990/1991-0.5Bht
0.051,0.32,1.4,0.007,0.014,0.47,1.3111134320152065,0.36646973322994114,0.08459591582194292,0.17175217450504654,0.25817740667338285,0.7420366817705997,442.4881321394709,82.16816864452676,106.4689759543553,90.68205999245401,9.103073901093808,111.19073326850923,50.06684994255585,32.74590748128139,29.071975075922182,170.0,21.0,DC,+,1.0,200.0,MMA,509.0,568.0,28.6,76.9,,,,,,,,,,Evans-Ni/CMn-1990/1991-0.5Caw
0.051,0.32,1.4,0.007,0.014,0.47,1.3111134320152065,0.36646973322994114,0.08459591582194292,0.17175217450504654,0.25817740667338285,0.7420366817705997,442.4881321394709,82.16816864452676,106.4689759543553,90.68205999245401,9.103073901093808,111.19073326850923,50.06684994255585,32.74590748128139,29.071975075922182,170.0,21.0,DC,+,1.0,200.0,MMA,450.0,536.0,28.2,78.8,,,,,,,,,,Evans-Ni/CMn-1990/1991-0.5Cht
0.049,0.33,1.85,0.006,0.014,0.51,0.7858581020484579,0.22973671296389142,0.08344673803480163,0.16079952407334552,0.2485636185776201,0.6618916024100159,442.06451774609457,85.3218192612938,103.06970907318032,107.18097178509925,8.603355901714622,91.66864223335699,48.39283507580359,34.415411142222354,28.917641191779694,170.0,21.0,DC,+,1.0,200.0,MMA,547.0,618.0,26.0,74.9,,,,,,,,,,Evans-Ni/CMn-1990/1991-0.5Daw
